revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_f4d3079_dec40bc/rev_f4d3079-dec40bc.revisions;309;169;0;169;0;140;140;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_cf9e8fd_323f0c6/rev_cf9e8fd-323f0c6.revisions;62;51;0;51;0;11;11;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_d028662_2bad4e0/rev_d028662-2bad4e0.revisions;2520;624;0;624;0;1896;1896;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_6371dda_b8fdfa4/rev_6371dda-b8fdfa4.revisions;199;131;0;131;0;68;68;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657.revisions;227;152;0;152;0;75;67;8;0;11;8;0;0
/home/arthur/analysis/projects/java/revisions/rev_32a26c5_9835283/rev_32a26c5-9835283.revisions;523;431;0;431;0;92;91;1;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_b9048f7_e82a000/rev_b9048f7-e82a000.revisions;79;74;0;74;0;5;5;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_e646c11_00888fa/rev_e646c11-00888fa.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_be72194_7594310/rev_be72194-7594310.revisions;310;169;0;169;0;141;139;2;0;2;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_949e687_8efe816/rev_949e687-8efe816.revisions;62;51;0;51;0;11;11;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_04ff58a_6f86268/rev_04ff58a-6f86268.revisions;2520;624;0;624;0;1896;1896;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_605a10a_0c13aa4/rev_605a10a-0c13aa4.revisions;202;134;0;134;0;68;68;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_090f1af_1376f3c/rev_090f1af-1376f3c.revisions;474;137;0;137;0;337;337;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_a93bb25_c6a9c8d/rev_a93bb25-c6a9c8d.revisions;532;440;0;440;0;92;92;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_30b8a30_2587dc3/rev_30b8a30-2587dc3.revisions;82;74;0;74;0;8;8;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_f207b17_dd2ca97/rev_f207b17-dd2ca97.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_7794df7_7594310/rev_7794df7-7594310.revisions;310;169;0;169;0;141;141;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_871da2a_b102c6d/rev_871da2a-b102c6d.revisions;64;51;0;51;0;13;13;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_0da45ef_5f37e7e/rev_0da45ef-5f37e7e.revisions;2521;624;0;624;0;1897;1897;0;0;0;0;0;6
/home/arthur/analysis/projects/retrolambda/revisions/rev_83ab4e2_fb6101a/rev_83ab4e2-fb6101a.revisions;213;134;0;134;0;79;67;0;12;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_787279a_237ad55/rev_787279a-237ad55.revisions;475;138;0;138;0;337;337;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_e7d2804_e458231/rev_e7d2804-e458231.revisions;524;432;0;432;0;92;92;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_df321fe_ff2a285/rev_df321fe-ff2a285.revisions;258;127;0;127;0;131;131;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_5ec3e29_d2bcf44/rev_5ec3e29-d2bcf44.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_5f0be42_1f0d411/rev_5f0be42-1f0d411.revisions;310;169;0;169;0;141;141;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_eb08be8_fdb1c59/rev_eb08be8-fdb1c59.revisions;64;51;0;51;0;13;10;3;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_258c576_490fc03/rev_258c576-490fc03.revisions;2539;632;0;632;0;1907;1907;0;0;0;0;0;1
/home/arthur/analysis/projects/glide/revisions/rev_1aae734_27fdb88/rev_1aae734-27fdb88.revisions;476;138;0;138;0;338;338;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_4e529f2_7bfe76d/rev_4e529f2-7bfe76d.revisions;524;432;0;432;0;92;92;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_1ddd47b_02a02c3/rev_1ddd47b-02a02c3.revisions;258;127;0;127;0;131;131;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_cb254a6_450d417/rev_cb254a6-450d417.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_fcd9ec6_1f0d411/rev_fcd9ec6-1f0d411.revisions;310;169;0;169;0;141;140;1;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_dde8e53_dc3b81b/rev_dde8e53-dc3b81b.revisions;64;51;0;51;0;13;13;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_0a8093b_e8623d4/rev_0a8093b-e8623d4.revisions;202;134;0;134;0;68;68;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_6b082eb_b007bfc/rev_6b082eb-b007bfc.revisions;480;138;0;138;0;342;341;1;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_5e6fa63_53fcc8d/rev_5e6fa63-53fcc8d.revisions;523;431;0;431;0;92;92;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_fc55f8b_0e7685b/rev_fc55f8b-0e7685b.revisions;257;126;0;126;0;131;131;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_41e8c9d_544d16b/rev_41e8c9d-544d16b.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_4c348d8_192cdc6/rev_4c348d8-192cdc6.revisions;310;169;0;169;0;141;141;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_bd48e78_962d1fa/rev_bd48e78-962d1fa.revisions;64;51;0;51;0;13;13;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_043c4d8_bf93245/rev_043c4d8-bf93245.revisions;214;134;0;134;0;80;67;0;13;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_f462212_51d3546/rev_f462212-51d3546.revisions;537;150;0;150;0;387;387;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_d0a6fb8_2357ae2/rev_d0a6fb8-2357ae2.revisions;523;431;0;431;0;92;92;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_98e5a38_a6f5fff/rev_98e5a38-a6f5fff.revisions;257;126;0;126;0;131;131;0;0;0;0;0;0
